Order Line,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Product ID,Sales,Quantity,Discount,Profit
54,CA-2014-167927,7/8/2016,7/14/2016,Standard Class,XP-21865,OFF-BI-10000605,19.05,5,0,8.95
55,CA-2014-167927,7/8/2016,7/14/2016,Standard Class,XP-21865,OFF-AP-10002311,247.72,4,0.1,93.58
56,CA-2014-167927,7/8/2016,7/14/2016,Standard Class,XP-21865,OFF-ST-10003123,66.58,2,0,15.98
57,CA-2014-167927,7/8/2016,7/14/2016,Standard Class,XP-21865,OFF-AR-10004456,43.92,3,0,12.74
58,CA-2014-167927,7/8/2016,7/14/2016,Standard Class,XP-21865,FUR-FU-10002268,14.73,3,0,4.86
59,CA-2014-167927,7/8/2016,7/14/2016,Standard Class,XP-21865,OFF-BI-10004364,29.70,5,0,13.37
60,US-2014-147774,7/8/2016,7/14/2016,Standard Class,MM-18280,OFF-BI-10003091,67.19,1,0.7,-51.52
61,CA-2014-110422,7/9/2016,7/11/2016,Second Class,TB-21400,FUR-FU-10001889,25.25,3,0.2,4.10
62,CA-2014-102645,7/11/2016,7/16/2016,Standard Class,IM-15055,OFF-PA-10001804,40.08,6,0,19.24
63,CA-2014-146997,7/11/2016,7/15/2016,Standard Class,SG-20605,OFF-FA-10003467,5.94,3,0,0.00
64,US-2014-155502,7/14/2016,7/19/2016,Standard Class,SD-20485,FUR-FU-10004587,62.82,3,0,30.78
65,US-2014-155502,7/14/2016,7/19/2016,Standard Class,SD-20485,OFF-ST-10004337,489.92,8,0,0.00
66,US-2014-155502,7/14/2016,7/19/2016,Standard Class,SD-20485,OFF-PA-10003072,19.44,3,0,9.33
67,US-2014-155502,7/14/2016,7/19/2016,Standard Class,SD-20485,OFF-PA-10000380,16.68,2,0,8.34
68,US-2014-155502,7/14/2016,7/19/2016,Standard Class,SD-20485,TEC-PH-10004833,155.35,13,0,0.00
69,US-2014-155502,7/14/2016,7/19/2016,Standard Class,SD-20485,FUR-FU-10001847,12.42,3,0,4.47
70,US-2014-155502,7/14/2016,7/19/2016,Standard Class,SD-20485,TEC-PH-10002103,187.98,2,0,52.63
71,CA-2014-167997,7/14/2016,7/17/2016,First Class,CA-11965,OFF-BI-10001758,10.68,2,0,5.02
72,CA-2014-167997,7/14/2016,7/17/2016,First Class,CA-11965,FUR-BO-10004409,141.96,2,0,39.75
73,US-2014-117163,7/15/2016,7/21/2016,Standard Class,EJ-13720,OFF-ST-10003692,57.23,1,0,14.31
74,US-2014-117163,7/15/2016,7/21/2016,Standard Class,EJ-13720,FUR-TA-10003469,333.00,3,0.2,-16.65
75,US-2014-117163,7/15/2016,7/21/2016,Standard Class,EJ-13720,OFF-AR-10003179,36.44,4,0,12.03
76,CA-2014-100328,7/16/2016,7/22/2016,Standard Class,JC-15340,OFF-BI-10000343,3.93,1,0.2,1.33
77,CA-2014-134103,7/18/2016,7/23/2016,Standard Class,MV-18190,OFF-PA-10001204,10.56,2,0,4.75
78,CA-2014-134103,7/18/2016,7/23/2016,Standard Class,MV-18190,OFF-ST-10000991,229.94,2,0,6.90
79,CA-2014-115161,7/19/2016,7/21/2016,First Class,LC-17050,FUR-BO-10003966,290.67,2,0.15,3.42
80,CA-2014-140795,7/20/2016,7/22/2016,First Class,BD-11500,TEC-AC-10001432,468.90,6,0,206.32
81,CA-2014-139857,7/21/2016,7/25/2016,Standard Class,CD-12790,OFF-FA-10001843,12.35,5,0,5.80
82,CA-2014-123400,7/21/2016,7/28/2016,Standard Class,EB-13930,OFF-BI-10000666,18.34,2,0.7,-12.22
83,CA-2014-123400,7/21/2016,7/28/2016,Standard Class,EB-13930,TEC-PH-10002890,180.96,5,0.2,13.57
84,CA-2014-111059,7/22/2016,7/25/2016,Second Class,TB-21400,OFF-BI-10004593,83.84,2,0.2,27.25
85,CA-2014-111059,7/22/2016,7/25/2016,Second Class,TB-21400,OFF-BI-10002827,13.27,3,0.2,4.31
86,CA-2014-107181,7/23/2016,7/27/2016,Standard Class,DB-13270,OFF-BI-10004230,82.90,3,0.2,29.01
87,CA-2014-107181,7/23/2016,7/27/2016,Standard Class,DB-13270,OFF-PA-10000350,34.24,4,0,16.09
88,CA-2014-104808,7/23/2016,7/27/2016,Second Class,MH-17440,OFF-BI-10003676,17.25,2,0.2,6.04
89,CA-2014-131905,7/25/2016,7/28/2016,First Class,ND-18460,OFF-LA-10002787,15.00,4,0,7.20
90,CA-2014-131905,7/25/2016,7/28/2016,First Class,ND-18460,TEC-PH-10003645,161.61,1,0,42.02
91,CA-2014-131905,7/25/2016,7/28/2016,First Class,ND-18460,TEC-PH-10001615,144.95,5,0,42.04
92,CA-2014-108182,7/25/2016,7/29/2016,Second Class,DL-13315,OFF-BI-10001196,8.95,2,0.8,-14.77
93,CA-2014-107755,7/26/2016,7/31/2016,Standard Class,CK-12760,TEC-AC-10000710,115.36,7,0,49.60
94,US-2014-169390,7/26/2016,7/29/2016,Second Class,CS-12250,OFF-ST-10001558,64.96,4,0,9.74
95,CA-2014-125759,7/27/2016,7/28/2016,First Class,NM-18445,FUR-FU-10002111,14.56,2,0,5.53
96,CA-2014-127614,7/30/2016,8/3/2016,Standard Class,NF-18385,TEC-AC-10001432,234.45,3,0,103.16
97,CA-2014-127614,7/30/2016,8/3/2016,Standard Class,NF-18385,FUR-TA-10003715,1256.22,6,0,75.37
98,CA-2014-127614,7/30/2016,8/3/2016,Standard Class,NF-18385,OFF-BI-10003291,17.46,2,0,8.21
99,CA-2014-168368,7/30/2016,8/3/2016,Second Class,GA-14725,FUR-CH-10001146,60.89,1,0,15.22
100,CA-2014-168368,7/30/2016,8/3/2016,Second Class,GA-14725,OFF-LA-10004853,14.94,3,0,6.87
101,CA-2014-168368,7/30/2016,8/3/2016,Second Class,GA-14725,OFF-BI-10004728,9.64,2,0,4.43
102,CA-2014-168368,7/30/2016,8/3/2016,Second Class,GA-14725,FUR-FU-10002298,332.94,3,0,53.27
103,CA-2014-168368,7/30/2016,8/3/2016,Second Class,GA-14725,OFF-BI-10004654,51.90,3,0,24.39
104,CA-2014-168368,7/30/2016,8/3/2016,Second Class,GA-14725,OFF-ST-10002583,64.96,2,0,2.60
105,US-2014-110674,7/31/2016,8/6/2016,Standard Class,SC-20095,FUR-CH-10000225,129.57,2,0.2,-24.29
106,CA-2014-107706,8/2/2016,8/7/2016,Second Class,ST-20530,OFF-PA-10000466,16.18,3,0.2,6.07
107,CA-2014-121762,8/2/2016,8/6/2016,Standard Class,ML-17395,TEC-AC-10000736,239.97,3,0,86.39
108,CA-2014-121762,8/2/2016,8/6/2016,Standard Class,ML-17395,OFF-AP-10001293,81.96,2,0,22.95
109,CA-2014-121762,8/2/2016,8/6/2016,Standard Class,ML-17395,OFF-SU-10000157,238.62,2,0,4.77
110,CA-2014-165568,8/3/2016,8/7/2016,Standard Class,BF-11020,OFF-BI-10001031,21.36,5,0.2,7.21
111,CA-2014-122567,8/4/2016,8/9/2016,Standard Class,MN-17935,OFF-BI-10002012,1.08,3,0.8,-1.73
112,CA-2014-122567,8/4/2016,8/9/2016,Standard Class,MN-17935,OFF-AP-10001303,7.96,2,0.8,-13.93
113,CA-2014-154165,8/5/2016,8/12/2016,Standard Class,DL-13315,OFF-AR-10003631,54.21,14,0.2,8.81
114,US-2014-165589,8/6/2016,8/6/2016,Same Day,TB-21595,FUR-FU-10002396,25.16,5,0.6,-11.32
115,CA-2014-152905,8/6/2016,8/12/2016,Standard Class,AB-10015,OFF-ST-10000321,12.62,2,0.2,-2.52
116,CA-2014-109491,8/8/2016,8/14/2016,Standard Class,LC-16930,TEC-AC-10001284,62.31,3,0,22.43
117,CA-2014-109491,8/8/2016,8/14/2016,Standard Class,LC-16930,FUR-FU-10000221,20.32,4,0,6.91
118,CA-2014-164903,8/8/2016,8/12/2016,Standard Class,SR-20740,OFF-PA-10003363,12.96,2,0,6.22
119,CA-2014-165540,8/9/2016,8/13/2016,Standard Class,TM-21010,OFF-BI-10004094,8.85,5,0.8,-13.72
120,CA-2014-133354,8/10/2016,8/12/2016,First Class,SA-20830,OFF-PA-10001800,19.44,3,0,9.33
121,CA-2014-103744,8/11/2016,8/15/2016,Standard Class,MG-17875,OFF-LA-10004425,6.94,3,0.2,2.34
122,CA-2014-103744,8/11/2016,8/15/2016,Standard Class,MG-17875,OFF-BI-10000320,4.43,3,0.8,-6.86
123,US-2014-137680,8/12/2016,8/18/2016,Standard Class,JH-15430,OFF-PA-10000174,32.90,4,0.2,11.10
124,US-2014-137680,8/12/2016,8/18/2016,Standard Class,JH-15430,OFF-PA-10000069,22.78,3,0.2,7.69
125,CA-2014-156545,8/15/2016,8/19/2016,First Class,JS-16030,OFF-AR-10003560,19.46,4,0.2,3.40
126,CA-2014-104269,8/17/2016,8/22/2016,Second Class,DB-13060,FUR-CH-10004063,457.57,2,0.2,51.48
127,US-2014-143707,8/17/2016,8/21/2016,Standard Class,HR-14770,TEC-PH-10003655,5.94,3,0,1.60
128,CA-2014-113880,8/17/2016,8/21/2016,Standard Class,VF-21715,FUR-CH-10000863,634.12,6,0.3,-172.12
129,CA-2014-113880,8/17/2016,8/21/2016,Standard Class,VF-21715,OFF-PA-10003036,17.47,3,0.2,5.68
130,CA-2014-131009,8/17/2016,8/21/2016,Standard Class,SC-20380,OFF-FA-10004395,18.84,5,0.2,-3.53
131,CA-2014-131009,8/17/2016,8/21/2016,Standard Class,SC-20380,FUR-CH-10001270,362.25,6,0.3,0.00
132,CA-2014-131009,8/17/2016,8/21/2016,Standard Class,SC-20380,FUR-FU-10001095,63.55,6,0.6,-34.95
133,CA-2014-131009,8/17/2016,8/21/2016,Standard Class,SC-20380,OFF-ST-10001469,129.55,3,0.2,-22.67
134,CA-2014-168312,8/17/2016,8/23/2016,Standard Class,GW-14605,OFF-ST-10003692,137.35,3,0.2,8.58
135,CA-2014-168312,8/17/2016,8/23/2016,Standard Class,GW-14605,FUR-TA-10001866,376.51,3,0.3,-43.03
136,CA-2014-107524,8/18/2016,8/24/2016,Standard Class,KN-16705,OFF-EN-10001990,11.36,2,0,5.34
137,CA-2014-107524,8/18/2016,8/24/2016,Standard Class,KN-16705,OFF-PA-10000587,36.40,5,0,17.47
138,CA-2014-111157,8/18/2016,8/22/2016,Standard Class,NH-18610,OFF-PA-10000327,3.42,1,0.2,1.07
139,CA-2014-111157,8/18/2016,8/22/2016,Standard Class,NH-18610,TEC-AC-10004353,151.20,3,0.2,32.13
140,CA-2014-155852,8/19/2016,8/23/2016,Second Class,AJ-10945,OFF-AR-10003560,19.46,4,0.2,3.40
141,CA-2014-127964,8/19/2016,8/24/2016,Standard Class,AP-10720,TEC-PH-10004700,9.99,1,0,4.60
142,CA-2014-127964,8/19/2016,8/24/2016,Standard Class,AP-10720,OFF-BI-10004593,125.76,3,0.2,40.87
143,CA-2014-127964,8/19/2016,8/24/2016,Standard Class,AP-10720,OFF-BI-10003429,25.32,5,0.2,9.18
144,US-2014-127978,8/19/2016,8/24/2016,Standard Class,JS-15595,OFF-LA-10000305,15.12,3,0.2,4.91
145,US-2014-127978,8/19/2016,8/24/2016,Standard Class,JS-15595,FUR-BO-10001972,302.45,5,0.5,-199.62
146,US-2014-127978,8/19/2016,8/24/2016,Standard Class,JS-15595,OFF-ST-10002486,44.67,8,0.2,-10.05
147,CA-2014-130421,8/19/2016,8/23/2016,Standard Class,SC-20020,OFF-AP-10002534,176.77,3,0.8,-459.61
148,CA-2014-105648,8/19/2016,8/23/2016,Standard Class,EJ-14155,FUR-TA-10002958,626.35,3,0.2,-23.49
149,CA-2014-116239,8/20/2016,8/20/2016,Same Day,CL-12565,OFF-ST-10001370,354.90,5,0,17.75
150,CA-2014-117016,8/20/2016,8/25/2016,Standard Class,SC-20095,OFF-AR-10001374,15.55,3,0.2,2.33
151,CA-2014-169061,8/21/2016,8/24/2016,Second Class,AB-10150,OFF-AR-10000588,59.52,3,0,15.48
152,CA-2014-169061,8/21/2016,8/24/2016,Second Class,AB-10150,TEC-AC-10002001,479.97,3,0,177.59
153,CA-2014-169061,8/21/2016,8/24/2016,Second Class,AB-10150,OFF-SU-10000381,18.62,2,0,5.40
154,CA-2014-169061,8/21/2016,8/24/2016,Second Class,AB-10150,OFF-BI-10001617,49.63,6,0.2,16.75
155,CA-2014-169061,8/21/2016,8/24/2016,Second Class,AB-10150,OFF-PA-10001878,97.82,2,0,45.98
156,CA-2014-156587,8/23/2016,8/24/2016,First Class,AB-10015,FUR-CH-10004477,48.71,1,0.2,5.48
157,CA-2014-156587,8/23/2016,8/24/2016,First Class,AB-10015,OFF-AR-10001427,17.94,3,0,4.66
158,CA-2014-156587,8/23/2016,8/24/2016,First Class,AB-10015,OFF-ST-10002344,242.94,3,0,4.86
159,US-2014-131982,8/23/2016,8/27/2016,Second Class,NP-18685,OFF-BI-10004224,107.65,2,0.2,33.64
160,CA-2014-104563,8/23/2016,8/28/2016,Standard Class,CM-12715,OFF-AR-10000390,20.65,5,0,9.50
161,CA-2014-104563,8/23/2016,8/28/2016,Standard Class,CM-12715,OFF-ST-10000934,204.90,5,0,0.00
162,CA-2014-104563,8/23/2016,8/28/2016,Standard Class,CM-12715,FUR-CH-10002780,436.70,6,0.2,21.84
163,CA-2014-104563,8/23/2016,8/28/2016,Standard Class,CM-12715,FUR-CH-10004495,481.57,2,0.2,54.18
164,US-2014-100279,8/26/2016,8/30/2016,Standard Class,SW-20275,OFF-PA-10002259,22.38,2,0,10.74
165,US-2014-140116,8/26/2016,9/2/2016,Standard Class,KT-16480,OFF-ST-10000078,636.41,3,0.2,-15.91
166,US-2014-140116,8/26/2016,9/2/2016,Standard Class,KT-16480,OFF-AR-10001044,83.17,4,0.2,9.36
167,CA-2014-166884,8/27/2016,9/1/2016,Second Class,CK-12205,FUR-FU-10003981,8.32,5,0.2,2.29
168,CA-2014-166884,8/27/2016,9/1/2016,Second Class,CK-12205,OFF-FA-10001561,10.46,6,0.2,1.70
169,CA-2014-158337,8/27/2016,8/30/2016,Second Class,KA-16525,OFF-PA-10002137,108.92,14,0,49.01
170,CA-2014-114790,8/27/2016,8/29/2016,Second Class,FM-14215,OFF-AP-10002578,146.76,3,0,38.16
171,CA-2014-114790,8/27/2016,8/29/2016,Second Class,FM-14215,TEC-AC-10000710,32.96,2,0,14.17
172,CA-2014-114790,8/27/2016,8/29/2016,Second Class,FM-14215,TEC-PH-10000984,587.97,3,0,164.63
173,CA-2014-114790,8/27/2016,8/29/2016,Second Class,FM-14215,OFF-PA-10000213,14.94,3,0,7.02
174,US-2014-103338,8/27/2016,8/31/2016,Standard Class,RB-19435,OFF-AR-10001770,7.98,3,0,2.07
175,CA-2014-157623,8/30/2016,9/3/2016,Standard Class,DK-13225,OFF-PA-10001204,10.56,2,0,4.75
176,CA-2014-157623,8/30/2016,9/3/2016,Standard Class,DK-13225,OFF-AR-10003723,3.38,1,0,1.25
177,US-2014-125521,8/30/2016,9/4/2016,Standard Class,CK-12325,FUR-CH-10003379,1139.92,4,0,284.98
178,CA-2014-114510,8/30/2016,9/4/2016,Standard Class,JF-15295,OFF-BI-10001617,33.09,4,0.2,11.17
179,CA-2014-114510,8/30/2016,9/4/2016,Standard Class,JF-15295,OFF-ST-10000736,80.98,1,0,3.24
180,CA-2014-114510,8/30/2016,9/4/2016,Standard Class,JF-15295,TEC-AC-10004877,82.80,12,0,6.62
181,CA-2014-114510,8/30/2016,9/4/2016,Standard Class,JF-15295,OFF-ST-10003221,21.36,2,0,5.77
182,CA-2014-114510,8/30/2016,9/4/2016,Standard Class,JF-15295,OFF-BI-10003007,62.05,2,0.2,20.17
183,CA-2014-152618,8/30/2016,9/2/2016,First Class,RB-19465,TEC-MA-10003626,574.91,2,0.3,156.05
184,CA-2014-152618,8/30/2016,9/2/2016,First Class,RB-19465,OFF-PA-10001215,8.45,2,0.2,2.64
185,CA-2014-100293,8/30/2016,9/3/2016,Standard Class,NF-18475,OFF-PA-10000176,91.06,6,0.2,31.87
186,CA-2014-149958,8/31/2016,9/4/2016,Standard Class,AS-10240,OFF-ST-10001490,142.78,1,0.2,17.85
187,CA-2014-149958,8/31/2016,9/4/2016,Standard Class,AS-10240,FUR-FU-10001756,45.70,3,0.2,5.14
188,CA-2014-149958,8/31/2016,9/4/2016,Standard Class,AS-10240,OFF-BI-10000773,7.22,3,0.7,-5.53
189,CA-2014-149958,8/31/2016,9/4/2016,Standard Class,AS-10240,OFF-BI-10001543,43.19,4,0.7,-31.67
190,CA-2014-149958,8/31/2016,9/4/2016,Standard Class,AS-10240,OFF-PA-10002120,131.90,3,0.2,47.82
191,CA-2014-157609,9/1/2016,9/6/2016,Second Class,KN-16705,TEC-PH-10002415,471.92,2,0.2,29.50
192,CA-2014-118339,9/2/2016,9/9/2016,Standard Class,BN-11515,OFF-AP-10001154,93.78,2,0,36.57
193,CA-2014-118339,9/2/2016,9/9/2016,Standard Class,BN-11515,OFF-PA-10000466,47.18,7,0,23.59
194,CA-2014-118339,9/2/2016,9/9/2016,Standard Class,BN-11515,OFF-AR-10003829,19.68,6,0,5.71
195,CA-2014-118339,9/2/2016,9/9/2016,Standard Class,BN-11515,OFF-BI-10001758,53.40,10,0,25.10
196,CA-2014-118339,9/2/2016,9/9/2016,Standard Class,BN-11515,OFF-BI-10000136,35.88,6,0,17.22
197,US-2014-148838,9/2/2016,9/6/2016,Standard Class,CP-12340,FUR-TA-10003473,1579.75,7,0.4,-447.59
198,US-2014-148838,9/2/2016,9/6/2016,Standard Class,CP-12340,FUR-TA-10001950,1071.58,4,0.4,-553.65
199,US-2014-148838,9/2/2016,9/6/2016,Standard Class,CP-12340,FUR-TA-10004175,613.91,3,0.4,-122.78
200,US-2014-148838,9/2/2016,9/6/2016,Standard Class,CP-12340,OFF-PA-10002960,34.86,7,0,16.38
201,US-2014-148838,9/2/2016,9/6/2016,Standard Class,CP-12340,OFF-PA-10000919,155.04,4,0,75.97
202,CA-2014-158442,9/2/2016,9/2/2016,Same Day,AZ-10750,OFF-AR-10003732,4.45,2,0.2,0.33
203,CA-2014-158442,9/2/2016,9/2/2016,Same Day,AZ-10750,OFF-PA-10002195,5.18,1,0.2,1.88
204,CA-2014-158442,9/2/2016,9/2/2016,Same Day,AZ-10750,OFF-PA-10002365,15.55,3,0.2,5.44
205,US-2014-164763,9/2/2016,9/6/2016,Standard Class,MH-17440,OFF-BI-10000605,11.43,3,0,5.37
206,US-2014-164763,9/2/2016,9/6/2016,Standard Class,MH-17440,OFF-BI-10000309,30.44,2,0,14.92
207,US-2014-164763,9/2/2016,9/6/2016,Standard Class,MH-17440,OFF-PA-10003349,12.96,2,0,6.35
208,US-2014-164763,9/2/2016,9/6/2016,Standard Class,MH-17440,OFF-PA-10003063,16.00,4,0,7.68
209,US-2014-164763,9/2/2016,9/6/2016,Standard Class,MH-17440,OFF-AP-10003971,32.67,3,0,8.49
210,CA-2014-127859,9/2/2016,9/5/2016,Second Class,QJ-19255,OFF-PA-10003641,126.62,6,0.2,41.15
211,CA-2014-145317,9/3/2016,9/8/2016,Standard Class,SM-20320,TEC-MA-10003626,821.30,4,0.5,-16.43
212,CA-2014-145317,9/3/2016,9/8/2016,Standard Class,SM-20320,TEC-MA-10002412,22638.48,6,0.5,-1811.08
213,CA-2014-145317,9/3/2016,9/8/2016,Standard Class,SM-20320,OFF-PA-10001804,21.38,4,0.2,7.48
214,CA-2014-145317,9/3/2016,9/8/2016,Standard Class,SM-20320,OFF-AR-10003183,8.02,3,0.2,1.00
215,CA-2014-145317,9/3/2016,9/8/2016,Standard Class,SM-20320,FUR-FU-10004270,30.77,2,0.2,8.08
216,CA-2014-145317,9/3/2016,9/8/2016,Standard Class,SM-20320,OFF-FA-10003112,18.94,3,0.2,5.92
217,CA-2014-145317,9/3/2016,9/8/2016,Standard Class,SM-20320,FUR-FU-10001986,122.35,3,0.2,15.29
218,CA-2014-111871,9/3/2016,9/6/2016,Second Class,EK-13795,FUR-BO-10004218,1198.33,10,0.15,70.49
219,US-2014-131275,9/3/2016,9/9/2016,Standard Class,SC-20050,FUR-FU-10004597,111.00,2,0,14.43
220,US-2014-131275,9/3/2016,9/9/2016,Standard Class,SC-20050,TEC-MA-10001148,1279.97,4,0.2,415.99
221,US-2014-131275,9/3/2016,9/9/2016,Standard Class,SC-20050,OFF-ST-10000078,1856.19,7,0,334.11
222,CA-2014-103989,9/4/2016,9/6/2016,First Class,MC-17605,TEC-PH-10004667,323.98,3,0.2,28.35
223,CA-2014-103989,9/4/2016,9/6/2016,First Class,MC-17605,OFF-LA-10000443,11.81,4,0.2,3.99
224,CA-2014-103989,9/4/2016,9/6/2016,First Class,MC-17605,OFF-ST-10000918,26.16,3,0.2,1.96
225,CA-2014-103989,9/4/2016,9/6/2016,First Class,MC-17605,OFF-BI-10001196,33.57,5,0.7,-25.74
226,CA-2014-103989,9/4/2016,9/6/2016,First Class,MC-17605,FUR-FU-10003981,4.99,3,0.2,1.37
227,CA-2014-103989,9/4/2016,9/6/2016,First Class,MC-17605,FUR-FU-10002508,20.02,3,0.2,5.50
228,CA-2014-103989,9/4/2016,9/6/2016,First Class,MC-17605,TEC-AC-10002647,170.24,2,0.2,53.20
229,CA-2014-140004,9/6/2016,9/10/2016,Standard Class,CB-12025,OFF-AR-10004685,7.41,2,0.2,1.20
